"Id","SalePrice"
1461,127967.319596473
1462,170015.571784456
1463,191041.310438083
1464,198312.621948646
1465,184034.818548369
1466,175324.920361495
1467,176968.279361047
1468,164753.659525123
1469,186864.631935721
1470,123979.269201984
1471,200004.930424618
1472,93784.9224384512
1473,97032.9486644152
1474,153338.215148497
1475,119807.872609799
1476,395604.75769905
1477,263297.194404921
1478,298368.332209895
1479,277642.403014804
1480,514968.050186154
1481,335057.507458455
1482,209847.087318866
1483,189659.35929983
1484,162669.847514828
1485,180128.94482858
1486,200449.047752318
1487,348559.960558999
1488,236536.434262663
1489,205132.352563465
1490,237978.321882283
1491,198962.820872278
1492,97622.7646994183
1493,189873.767869813
1494,295693.042972615
1495,297850.922095869
1496,237032.560226185
1497,183483.235043678
1498,158122.840551454
1499,157458.003952704
1500,150949.365261144
1501,170122.76983234
1502,149120.969299127
1503,305839.449456125
1504,237079.714318589
1505,225133.90309634
1506,190276.016311044
1507,245002.144680842
1508,206590.975535187
1509,167537.884527533
1510,149864.617260933
1511,148582.583214163
1512,178150.35063034
1513,141988.899371647
1514,168233.404491814
1515,210905.859960751
1516,162279.100904177
1517,167026.71006497
1518,130482.643362443
1519,219904.549084337
1520,134820.01615041
1521,141996.5007679
1522,170505.490939297
1523,111759.284962212
1524,129159.401664646
1525,126148.869533447
1526,121540.009313613
1527,103298.53712019
1528,142601.845957879
1529,143207.59360023
1530,176891.487142675
1531,97082.5807457782
1532,104025.695478388
1533,150857.033412317
1534,121947.244987426
1535,167663.495963589
1536,112695.150951725
1537,60845.9104602286
1538,182572.11394035
1539,219423.077309868
1540,96940.0507656724
1541,147553.993285793
1542,146585.950648769
1543,216330.651501697
1544,88976.8603802174
1545,114912.631092372
1546,126516.671992393
1547,140538.959552601
1548,140766.85978495
1549,113239.791207588
1550,137587.473822776
1551,120681.121229267
1552,137117.637901376
1553,160345.806276233
1554,110791.856776249
1555,186116.720312914
1556,96994.6625156579
1557,112183.142647232
1558,97279.4515453856
1559,93351.8522520034
1560,137476.160075234
1561,129386.086777315
1562,126176.7443047
1563,118539.019435442
1564,149385.187537732
1565,149599.822560833
1566,257763.438661135
1567,78464.544193774
1568,234850.321287283
1569,130604.097873783
1570,134968.676774689
1571,123795.58540375
1572,149964.716873288
1573,260602.38691837
1574,113451.602644102
1575,237218.684169618
1576,245516.202313173
1577,193583.797243709
1578,152027.572384075
1579,152062.693606235
1580,197502.784738214
1581,156933.007209201
1582,129971.235228885
1583,326637.628669275
1584,230991.111195346
1585,142352.444524054
1586,81825.8129991353
1587,104045.262120628
1588,146531.600433632
1589,105822.084088425
1590,129358.618518541
1591,91457.7213079192
1592,116854.67377
1593,126331.169483398
1594,154611.917911632
1595,104317.657476995
1596,230606.999987228
1597,183478.119001115
1598,218857.399502362
1599,182280.174243875
1600,180700.038605241
1601,69125.1709490691
1602,108819.481487174
1603,93227.1397106146
1604,267946.385109295
1605,252343.471297588
1606,174715.261572834
1607,159960.789565393
1608,216070.852353421
1609,198785.071906435
1610,158193.326212509
1611,143366.528791542
1612,170240.271195173
1613,164668.138900943
1614,119199.271021734
1615,89911.3475096795
1616,72962.0012852959
1617,95630.8005874514
1618,127145.647942615
1619,143886.839854516
1620,159401.168339506
1621,141668.755451894
1622,140524.905894214
1623,274128.817235
1624,209184.890945125
1625,128446.170261827
1626,168339.702545343
1627,191744.62302823
1628,278375.527085764
1629,173370.193724982
1630,390576.638555597
1631,222524.695652262
1632,252994.970055954
1633,161869.041020444
1634,185164.293071159
1635,179416.532035749
1636,154709.496916871
1637,208788.633079734
1638,204690.506613273
1639,191483.583226524
1640,269563.187381691
1641,185123.15586893
1642,234241.275364512
1643,226806.384385078
1644,229196.481043926
1645,189310.199002347
1646,160986.785058388
1647,162032.893377321
1648,131977.416847462
1649,139158.692009341
1650,118288.006743821
1651,126741.463574772
1652,94528.725991222
1653,96840.6381268564
1654,144431.490204248
1655,146150.649242981
1656,143178.507228374
1657,147334.901291916
1658,140756.990924905
1659,129913.351476566
1660,152245.650854065
1661,495996.263106343
1662,419688.146126546
1663,379193.153045013
1664,517361.289847482
1665,326232.584782373
1666,330210.600433033
1667,377347.36816233
1668,344275.672411595
1669,308857.909124454
1670,369163.356295492
1671,278004.800431116
1672,468615.090890892
1673,318134.946709442
1674,246874.276443237
1675,190289.860762871
1676,188860.480567004
1677,228699.196493727
1678,486167.973199424
1679,417098.052350233
1680,336085.394731518
1681,255604.152298035
1682,298838.551113949
1683,174808.288386805
1684,180030.286373696
1685,171838.197488066
1686,164942.23943322
1687,166138.510098543
1688,190157.690228887
1689,193502.322991241
1690,193616.972151142
1691,179244.702588352
1692,262487.148926175
1693,167113.991259648
1694,179430.157128665
1695,162679.242541767
1696,289690.141219279
1697,169563.287361491
1698,386573.633376349
1699,315965.939864387
1700,243592.155057256
1701,269791.552894466
1702,258987.222518587
1703,259492.96724647
1704,301566.734591107
1705,231367.507476255
1706,477906.250469707
1707,206366.931265884
1708,204105.951293052
1709,272239.820231311
1710,218573.11270714
1711,259378.689090566
1712,251420.531162917
1713,286070.644469565
1714,223521.478498178
1715,208774.814908967
1716,186728.952095638
1717,173422.339537391
1718,134777.176085115
1719,205598.12194981
1720,242964.040769973
1721,178634.311011356
1722,138021.892893679
1723,166108.760330408
1724,212704.141527575
1725,243683.646057857
1726,190675.337589599
1727,155500.258287189
1728,186038.622595919
1729,164386.006173594
1730,160525.719453692
1731,121275.570640597
1732,123640.320998568
1733,118096.076786009
1734,124508.356083738
1735,131047.770574293
1736,118311.209746394
1737,386034.991331866
1738,233554.302681909
1739,317953.694256638
1740,225194.183940978
1741,192267.339706978
1742,170029.119117642
1743,175385.702624505
1744,316569.784361907
1745,248641.432096987
1746,226330.706389377
1747,227447.412042331
1748,234857.646446775
1749,152722.558461235
1750,138287.261150336
1751,250083.401435149
1752,121665.145542858
1753,150641.773768226
1754,198747.200021874
1755,173092.157929692
1756,129354.669416774
1757,122366.152049224
1758,141515.657974784
1759,174345.352596434
1760,163972.493165466
1761,149199.986574679
1762,179320.948689725
1763,172317.901703937
1764,117778.226872245
1765,179439.378322355
1766,180657.445662034
1767,221083.388859766
1768,147647.017353298
1769,180090.753219609
1770,146604.369048844
1771,130418.460114305
1772,139691.689246441
1773,128375.227685921
1774,130499.993816374
1775,140535.866425412
1776,124609.686300803
